Vge,Ice,Vce
15.8,376,32
15.8,376,30.80022800228
15.8,376,29.60045600456
15.8,376,28.4006840068401
15.8,376,27.2009120091201
15.8,376,26.0011400114001
15.8,376,24.8013680136801
15.8,376,23.6015960159602
15.8,376,22.4018240182402
15.8,376,21.2020520205202
15.8,376,20.0022800228002
15.8,376,18.8025080250803
15.8,376,17.6027360273603
15.8,376,16.4029640296403
15.8,376,15.2031920319203
15.8,376,14.0034200342003
15.8,376,12.8036480364804
15.8,376,11.6038760387604
15.8,376,10.4041040410404
15.8,376,9.20433204332043
15.8,376,8.00456004560046
15.770119701197,376,8.39840398403984
15.740125401254,376,8.79832798327983
15.710131101311,376,9.19825198251983
15.680136801368,376,9.59817598175982
15.650142501425,376,9.99809998099981
15.620148201482,376,10.3980239802398
15.590153901539,376,10.7979479794798
15.560159601596,376,11.1978719787198
15.530165301653,376,11.5977959779598
15.50017100171,376,11.9977199771998
15.470176701767,376,12.3976439764398
15.440182401824,376,12.7975679756798
15.410188101881,376,13.1974919749198
15.380193801938,376,13.5974159741597
15.350199501995,376,13.9973399733997
15.320205202052,376,14.3972639726397
15.290210902109,376,14.7971879718797
15.260216602166,376,15.1971119711197
15.230222302223,376,15.5970359703597
15.20022800228,376,15.9969599695997
15.229766297663,376,16
15.259760597606,376,16
15.289754897549,376,16
15.319749197492,376,16
15.349743497435,376,16
15.379737797378,376,16
15.409732097321,376,16
15.439726397264,376,16
15.469720697207,376,16
15.49971499715,376,16
15.529709297093,376,16
15.559703597036,376,16
15.589697896979,376,16
15.619692196922,376,16
15.649686496865,376,16
15.679680796808,376,16
15.709675096751,376,16
15.739669396694,376,16
15.769663696637,376,16
15.79965799658,376,16
15.790115901159,375.80231802318,16.3953639536395
15.780117801178,375.60235602356,16.7952879528795
15.770119701197,375.40239402394,17.1952119521195
15.760121601216,375.20243202432,17.5951359513595
15.750123501235,375.0024700247,17.9950599505995
15.740125401254,374.80250802508,18.3949839498395
15.730127301273,374.60254602546,18.7949079490795
15.720129201292,374.40258402584,19.1948319483195
15.710131101311,374.20262202622,19.5947559475595
15.70013300133,374.0026600266,19.9946799467995
15.690134901349,373.80269802698,20.3946039460395
15.680136801368,373.60273602736,20.7945279452795
15.670138701387,373.40277402774,21.1944519445194
15.660140601406,373.20281202812,21.5943759437594
15.650142501425,373.0028500285,21.9942999429994
15.640144401444,372.80288802888,22.3942239422394
15.630146301463,372.60292602926,22.7941479414794
15.620148201482,372.40296402964,23.1940719407194
15.610150101501,372.20300203002,23.5939959399594
15.60015200152,372.0030400304,23.9939199391994
15.590153901539,372,23.2123121231212
15.580155801558,372,22.4124641246412
15.570157701577,372,21.6126161261613
15.560159601596,372,20.8127681276813
15.550161501615,372,20.0129201292013
15.540163401634,372,19.2130721307213
15.530165301653,372,18.4132241322413
15.520167201672,372,17.6133761337613
15.510169101691,372,16.8135281352814
15.50017100171,372,16.0136801368014
15.490172901729,372,15.2138321383214
15.480174801748,372,14.4139841398414
15.470176701767,372,13.6141361413614
15.460178601786,372,12.8142881428814
15.450180501805,372,12.0144401444014
15.440182401824,372,11.2145921459215
15.430184301843,372,10.4147441474415
15.420186201862,372,9.61489614896149
15.410188101881,372,8.8150481504815
15.4001900019,372,8.01520015200153
15.4,372,9.1769717697177
15.4,372,10.3767437674377
15.4,372,11.5765157651576
15.4,372,12.7762877628776
15.4,372,13.9760597605976
