Vge,Ice,Vce
15.8,376.00,32
15.8,376.00,8
15.2,376.00,16
15.8,376.00,16
15.6,372.00,24
15.4,372.00,8
15.4,372.00,32
15.6,372.00,16
15.6,372.00,24
15.4,376.00,8
15.6,376.00,24
15.6,376.00,16
15.6,376.00,16
15.6,372.00,16
15.6,368.00,24
15.6,372.00,8
15.8,372.00,8
15.6,380.00,24
15.4,380.00,32
15.4,380.00,16
15.8,376.00,8
15.8,376.00,16
15.6,376.00,8
15.4,376.00,0
16.0,376.00,8
15.6,372.00,16
15.6,376.00,0
15.4,376.00,16
15.8,376.00,8
15.6,372.00,24
15.8,372.00,8
15.8,372.00,16
15.8,376.00,8
15.6,380.00,16
15.8,380.00,8
15.6,372.00,16
15.6,376.00,8
15.4,372.00,24
15.4,376.00,8
15.6,376.00,16
15.6,376.00,16
15.8,376.00,16
15.6,376.00,16
15.6,376.00,24
15.4,376.00,8
15.8,376.00,16
15.4,376.00,8
15.6,376.00,16
15.6,376.00,8
15.6,376.00,24
15.6,376.00,16
15.6,376.00,16
15.6,376.00,16
15.6,376.00,16
15.6,376.00,16
15.6,372.00,8
15.8,376.00,24
15.8,380.00,8
15.6,380.00,16
15.6,380.00,8
15.6,376.00,16
15.8,380.00,0
15.6,372.00,8
15.6,376.00,16
15.6,376.00,16
15.6,376.00,8
15.4,376.00,16
15.6,380.00,16
15.2,376.00,16
15.8,380.00,8
15.6,376.00,16
15.6,376.00,8
15.6,380.00,16
15.6,376.00,8
15.6,376.00,24
15.6,376.00,8
15.6,376.00,16
15.4,384.00,8
15.4,380.00,24
15.8,380.00,8
15.4,380.00,16
15.6,380.00,8
15.6,372.00,8
15.6,376.00,16
15.6,380.00,16
15.4,376.00,8
15.8,380.00,16
15.8,380.00,16
15.6,380.00,16
15.6,380.00,16
15.8,380.00,8
16.0,380.00,24
15.6,376.00,8
15.4,376.00,24
15.8,376.00,8
15.6,380.00,8
15.8,376.00,8
15.6,376.00,16
15.8,376.00,0
15.6,380.00,16
15.6,380.00,16
15.4,380.00,32
15.6,384.00,24
15.6,376.00,24
15.4,376.00,16
15.6,380.00,16
15.6,380.00,8
15.6,380.00,16
15.8,380.00,8
15.4,376.00,24
15.6,376.00,16
15.6,376.00,24
15.4,372.00,16
15.6,376.00,16
15.6,380.00,16
15.8,380.00,8
15.6,376.00,24
15.4,380.00,32
15.4,376.00,16
15.8,376.00,16
15.6,380.00,8
15.8,380.00,16
15.8,380.00,0
15.8,380.00,8
16.0,376.00,8
15.6,380.00,8
15.4,380.00,24
15.8,380.00,8
15.4,380.00,24
15.6,380.00,16
15.4,380.00,24
15.8,380.00,8
15.6,380.00,16
15.6,384.00,8
15.6,384.00,16
15.6,384.00,16
